Masse - Plot 0	Strom - Plot 0	
45,110	0,145	
45,242	0,095	
45,359	0,044	
45,491	0,044	
45,624	0,044	
45,742	0,044	
45,874	0,044	
45,993	0,044	
46,126	0,044	
46,378	0,044	
46,511	0,044	
46,630	0,044	
46,764	0,044	
46,899	0,044	
47,018	0,044	
47,153	0,044	
47,273	0,145	
47,408	0,655	
47,543	2,641	
47,663	8,548	
47,798	15,831	
47,919	15,424	
48,055	9,873	
48,191	3,099	
48,312	1,164	
48,449	0,553	
48,570	0,553	
48,707	1,266	
48,844	1,979	
48,966	1,571	
49,103	0,96	
49,225	0,4	
49,363	0,909	
49,486	1,571	
49,624	3,201	
49,762	6,053	
49,885	7,072	
50,024	5,187	
50,147	1,877	
50,286	0,604	
50,425	0,4	
50,549	0,196	
50,689	0,247	
50,813	0,349	
50,953	0,4	
51,093	0,145	
51,218	0,095	
51,358	0,095	
51,483	0,095	
51,624	0,044	
51,765	0,044	
51,891	0,095	
52,032	0,044	
52,300	0,044	
52,711	0,044	
52,837	0,044	
52,980	0,044	
53,123	0,044	
53,250	0,044	
53,393	0,145	
53,521	0,095	
53,664	0,095	
53,808	0,095	
53,936	0,095	
54,080	0,145	
54,208	0,145	
54,498	0,044	
54,627	0,095	
54,772	0,044	
54,901	0,044	
55,046	0,044	
55,192	0,095	
55,321	0,095	
55,467	0,095	
55,597	0,196	
55,744	0,298	
55,874	0,298	
56,021	0,196	
56,168	0,145	
56,298	0,095	
56,446	0,095	
56,577	0,095	
56,724	0,095	
56,872	0,095	
57,004	0,095	
57,152	0,044	
57,284	0,095	
57,432	0,044	
57,581	0,095	
57,714	0,044	
57,863	0,247	
57,995	0,044	
58,578	0,095	
58,711	0,044	
58,862	0,044	
59,012	0,044	
59,146	0,044	
59,297	0,044	
59,432	0,145	
59,583	0,349	
59,735	0,858	
59,869	1,317	
60,021	1,317	
60,156	0,757	
60,309	0,247	
60,461	0,145	
60,597	0,145	
60,750	0,196	
60,886	0,247	
61,039	0,196	
61,192	0,145	
61,328	0,145	
61,482	0,196	
61,619	0,145	
61,773	0,196	
61,927	0,196	
62,065	0,196	
62,219	0,706	
62,357	6,104	
62,512	13,539	
62,650	22,808	
62,805	29,632	
62,961	32,077	
63,099	28,002	
63,255	22,451	
63,394	16,035	
63,550	9,363	
63,707	3,71	
63,846	1,368	
64,003	0,655	
64,142	0,451	
64,299	1,673	
64,457	4,831	
64,597	8,752	
64,755	12,011	
64,895	14,252	
65,053	13,59	
65,212	11,044	
65,352	8,345	
65,511	5,595	
65,652	2,692	
65,811	1,062	
65,971	0,451	
66,112	0,247	
66,272	0,095	
66,574	0,095	
66,734	0,145	
66,877	0,145	
67,037	0,095	
67,180	0,044	
67,341	0,095	
67,502	0,196	
67,645	0,4	
67,807	0,502	
67,950	0,451	
68,112	0,349	
68,274	0,145	
68,418	0,044	
68,581	0,044	
68,725	0,095	
68,888	0,044	
69,051	0,044	
69,196	0,044	
